Gene,21.21 Days,37.33 Days,52.96 Days,68.08 Days,83.08 Days,98.08 Days,115 Days,134.96 Days,157.92 Days,180.88 Days,202 Days
SNORD1C,2.124117689,0,0.5431265,2.142834219,2.063764698,1.425968819,1.04825404,1.450445368,1.046671592,0.47946,0.5043258795
SNORD2,7.595951123,9.509719865,8.409160456,3.323220384,12.43257149,10.7678398,5.562515,7.25969321,6.149691437,6.283284857,10.82952225
SNORD20,28.85330941,37.33722163,23.87892578,23.72402068,29.56364433,18.73729847,13.89734605,16.19151695,17.84259393,12.95269692,11.62871867
SNORD21,23.41312367,24.48058502,22.81160429,19.49699278,19.72774449,11.58780817,27.79671071,25.14627558,29.59453856,26.91761751,30.55914789
SNORD22,19.45581036,19.98641166,18.19638832,16.86299725,17.55635431,24.26713311,18.62130236,26.70303302,21.47811743,16.3331457,21.87684723
SNORD23,5.226991631,5.331425177,5.842056297,4.252299595,7.199615505,2.042252981,4.668925293,2.024311121,6.79820166,1.033041983,1.028111702
SNORD24,22.15596133,14.94945767,15.18260458,11.17757841,16.20311457,14.70073585,15.57398342,16.68606865,11.35345269,15.98241196,15.81453266
SNORD26,16.66577036,24.17009436,13.60636877,7.738000685,11.2888487,8.78903595,4.375188315,6.335703095,3.630079596,3.521413233,3.553101481
SNORD27,0,1.122933504,0,0,0.4526817635,0,0.494793,1.501561549,0,0,0.5210545
SNORD28,12.82430242,10.33757809,7.941265942,7.920885079,5.494902961,6.186961391,5.534345044,3.945116326,7.322339975,4.512473761,3.127653816
SNORD29,6.048496087,2.4180865,4.633260118,7.020728775,2.746628951,3.057949604,2.385786717,2.354408979,2.305698406,3.489907225,1.077721298
SNORD30,3.32999164,2.98649896,1.583059028,0.5899025,2.458103129,0.4960515,1.484273075,0.4886305,0.477427,0.4450411105,0
SNORD31,3.849856075,2.433949919,5.273180625,2.559317326,2.99122466,0.998093,4.619695323,0.947900054,1.641048456,1.752677,3.376649908
SNORD31B,0.9652595,0,0,0,0,0,0,0.4731525,0,0,0.515138
SNORD32A,31.36875658,26.36763328,22.85923013,28.88404531,32.43324428,35.54372485,35.11061208,42.61281808,53.82347065,44.53373658,50.22324027
SNORD33,107.9554563,67.27278644,80.79854847,78.83330235,101.6484664,114.0646326,91.2780316,133.0631675,124.275597,127.8350575,127.278433
SNORD34,18.29159233,25.28396582,14.78232785,9.00574078,12.08636416,9.312482775,12.36237335,5.663864924,10.55172327,6.981223369,6.007475121
SNORD35A,22.0333664,21.57813096,12.03578257,17.22213751,14.43361046,14.52920341,10.51670713,14.96875158,9.96208711,8.69062065,12.18468524
SNORD35B,9.805825805,8.91303909,11.49115825,10.79463246,12.11181197,7.650790697,8.999738659,6.949711333,5.319685548,8.086778618,9.066398693
SNORD36A,19.05386011,31.17806313,11.71282772,25.08833709,16.03952286,16.42523942,6.456834825,10.75835377,7.781555988,8.315926968,10.9093944
SNORD36B,7.04805418,2.272665824,5.415829619,2.9888255,6.177687901,5.035587583,1.070444942,2.9067598,3.813229643,2.296599701,4.970945774
SNORD36C,20.63418918,17.91317343,17.39907168,19.53062436,14.90287112,10.89261126,11.41039061,9.485743004,9.288983389,8.868285323,7.157346325
SNORD37,0.4748615,0,0,0,0,0,0.435941,0.468761,0,0,0.4692785
SNORD38A,20.2347764,10.94206352,11.82789403,14.62728032,17.03894753,6.042191833,9.76861624,6.311603194,5.974844026,7.829036647,4.451127478
SNORD38B,10.17758271,7.72656632,6.975796774,7.066255427,7.05910423,6.698493279,7.323528782,4.777014777,2.147711578,2.650553054,6.580723992
SNORD38C,2.296965737,0,0.5599939905,2.402634327,0.4544282285,0,0.5668174305,0,1.10978007,0.4527285,1.220551293
SNORD38D,4.769456489,1.769878401,3.146075493,2.499105315,3.570099777,3.004715863,1.120502354,2.887975074,2.522821779,1.344495848,3.294628996
SNORD3A,22586.39765,18593.72358,18337.0869,18607.45308,20974.5848,20660.87956,16723.8085,16836.02839,14467.01046,17205.89533,17402.59971
SNORD3B-1,42.72154839,31.80282604,27.15366787,27.13671198,27.84998784,24.78903026,21.29875763,12.90361663,11.39768126,17.24173304,12.86678854
SNORD3B-2,42.72154839,31.80282604,27.15366787,27.13671198,27.84998784,24.78903026,21.29875763,12.90361663,11.39768126,17.24173304,12.86678854
SNORD3C,80.72100403,63.38968909,61.76828615,66.19316559,68.80264044,68.66362689,68.33054991,60.69031159,45.05342967,71.60968736,54.38313389
SNORD3D,2.669817474,1.276778099,0.5303325,0,0,1.653794222,0.521868311,1.59511279,0.5538165,1.561851189,0.59811848
SNORD3E,0.783187,0,0,0,0,0,0,0.7769215,0,0,0
SNORD3H,0,1.504778438,1.013137,0,0,0,1.008098477,1.482963281,0,0.9812605,0.498474182
SNORD3I,0,0,0.556759068,0,0,0,0,0,0,0.5360988065,0
SNORD3J,0,0,0,0,0.4999306105,0.498561154,0,0,0.5081324885,0,0
SNORD3K,7.993095755,6.915681965,8.747233795,8.0933807,7.189302273,4.119436943,3.121005836,7.836568568,8.886188302,4.644516831,5.135304651
SNORD3P3,13.77030945,17.35985234,16.21405376,13.10593049,14.47287828,23.01631612,15.00630028,20.13993117,13.85184958,13.70677903,19.79572096
SNORD41,0.459224257,3.031244808,1.56933235,2.144888906,0.451791275,0.498664,1.688581218,3.883845441,4.656638557,0.899072207,1.58798
SNORD42A,2.133499867,4.502502683,1.033174627,1.452806254,1.008915629,1.068842047,3.059163659,0.479841,0.4979355,0.4415335,0
SNORD42B,14.06220026,13.93396265,15.0421168,6.356629994,8.36427371,4.683280868,7.124446686,1.9002615,5.717448331,2.240448896,4.845882828
SNORD43,17.68628514,10.8283986,14.22827,17.64345246,6.205601635,7.413145099,9.876826475,9.700429855,8.452147394,5.5678882,6.754892304
SNORD44,1.32818024,2.106922559,2.008992057,2.340757864,3.741207626,3.166749166,3.288380633,3.915453369,3.75650264,0.879118169,3.866745056
SNORD45A,29.15556007,13.67702532,19.0574332,13.75093729,16.99165354,25.28453652,10.91344491,11.78552764,9.314661101,17.8908189,20.61357337
SNORD45B,7.046214215,8.130810711,7.194550845,6.360278935,7.478256235,3.031853314,4.524478462,4.860756673,4.608255187,3.672093868,6.169930053
